external_id,name,description,address,suburb,state,postcode,country,lat,lng,schedule,phone,email,website,source_url
marketsandfairs:adamstown-market,ADAMSTOWN MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Adamstown NSW 2289,Adamstown,NSW,2289,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/ADAMSTOWN-MARKET
marketsandfairs:the-concourse-artisan-market,The Concourse Artisan Market,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.","The Concourse Chatswood, 409 Victoria Avenue, Chatswood NSW 2067",Chatswood,NSW,2067,Australia,-33.7956772,151.1843034,Saturday from 7 Dec 2024 - 10am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/The-Concourse-Artisan-Market
marketsandfairs:avoca-beachside-markets,AVOCA BEACHSIDE MARKETS,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Avoca Beach NSW 2251,Avoca Beach,NSW,2251,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/AVOCA-BEACHSIDE-MARKETS
marketsandfairs:sydney-city-night-market,Sydney City Night Market,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.","Belmore Park, Hay Street, Haymarket NSW 2000",Haymarket,NSW,2000,Australia,-33.8809679018,151.2075833862,Saturday from 5 Sep 2025 to 28 Nov 2025 - 5pm,+6146572597,info@amaconnect.com.au,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/Sydney-City-Night-Market
marketsandfairs:armidale-market,ARMIDALE MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Armidale NSW 2350,Armidale,NSW,2350,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/ARMIDALE-MARKET
marketsandfairs:bangalow-farmers-market,BANGALOW FARMERS MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",NSW 2479,,NSW,2479,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/BANGALOW-FARMERS-MARKET
marketsandfairs:berry-reserve-market,BERRY RESERVE MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.","Berry Reserve, 1417 Pittwater Road, Narrabeen NSW 2101",Narrabeen,NSW,1417,Australia,-33.7138262119,151.2966244024,Sunday of the month - 9am,+6146572597,davestep@bigpond.net.au,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/BERRY-RESERVE-MARKET
marketsandfairs:the-hub-markets,@The HUB Markets,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Lalor Park NSW 2147,Lalor Park,NSW,2147,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/The-HUB-Markets
marketsandfairs:bondi-beach-community-market,BONDI BEACH COMMUNITY MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.","Roscoe St Mall, Campbell Parade, Bondi Beach NSW 2026",Bondi Beach,NSW,2026,Australia,-33.8903388766,151.2745195164,"Saturday, Sunday & all Public Holidays 11.00 - 20.00pm",+6146572597,bondicommunitymarket@hotmail.com,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/BONDI-BEACH-COMMUNITY-MARKET
marketsandfairs:arcadia-market,Arcadia Market,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Arcadia NSW 2159,Arcadia,NSW,2159,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/Arcadia-Market
